Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location
20190914601,12/22/2019 06:30:00 PM,2,1,0,,N,330413,4,ANGLE,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,STATE HWY 155 & BRANSFORD AVE,NASHVILLE,TN,37204,8525,MIDTOW,36.1123,-86.767,POINT (-86.767 36.1123)
20190772367,10/22/2019 10:59:00 AM,2,0,0,,Y,279110,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 51 1 I 24,NASHVILLE,TN,37210,81020,SOUTH,36.1315,-86.7272,POINT (-86.7272 36.1315)
20190673308,09/10/2019 11:48:00 AM,2,0,0,,N,693093,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,GALLATIN PKEN & ONE MILE PKWY,MADISON,TN,37115,1717,MADISO,36.2794,-86.7088,POINT (-86.7088 36.2794)
20190823537,11/13/2019 06:03:00 AM,2,0,0,,N,332298,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,OLD HICKORY BLVD & BRENTWOOD MEADOWS CIR,BRENTWOOD,TN,37027,8621,MIDTOW,36.0411,-86.7464,POINT (-86.7464 36.0411)
20190801793,11/04/2019 06:15:00 AM,2,0,0,,N,330411,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 34 7 I 24,JOELTON,TN,37080,33160,NORTH,36.3245,-86.8724,POINT (-86.8724 36.3245)
20190888691,12/11/2019 10:00:00 AM,2,0,0,,N,109534,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 213 3 I 40,NASHVILLE,TN,37210,9004,HERMIT,36.1407,-86.7259,POINT (-86.7259 36.1407)
20190734358,10/05/2019 08:35:00 PM,2,0,0,,N,320577,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,4TH AVS & HOUSTON ST,NASHVILLE,TN,37210,8127,SOUTH,36.1422,-86.7649,POINT (-86.7649 36.1422)
20190748083,10/11/2019 07:47:00 PM,3,0,0,,Y,240955,11,Front to Rear,2,RAIN,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,HAMILTON CHURCH RD & US HWY 41,ANTIOCH,TN,37013,8865,SOUTH,36.0643,-86.629,POINT (-86.629 36.0643)
20190826350,11/14/2019 10:35:00 AM,2,1,0,,N,676834,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,OLD HICKORY BLVD & WHITES CREEK PKE,WHITES CREEK,TN,37189,3229,NORTH,36.2657,-86.8309,POINT (-86.8309 36.2657)
20190879757,12/07/2019 12:47:00 PM,2,0,0,,N,320586,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 57 0 I 24,NASHVILLE,TN,37211,8708,SOUTH,36.0695,-86.6897,POINT (-86.6897 36.0695)
20190720623,09/30/2019 06:39:00 AM,2,1,0,,Y,226622,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,CENTENNIAL BLVD & BRILEY PKWY S EXT RAMP,NASHVILLE,TN,37209,4641,WEST,36.1713,-86.871,POINT (-86.871 36.1713)
20190742490,10/09/2019 01:50:00 PM,2,0,0,,N,405418,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,OLD HICKORY BLVD & BRENTWOOD BLVD,NASHVILLE,TN,37220,7111,MIDTOW,36.0377,-86.7948,POINT (-86.7948 36.0377)
20190611150,08/16/2019 11:10:00 AM,2,0,0,,N,109534,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,ELM HILL PKE & AIR LANE DR,NASHVILLE,TN,37210,9031,HERMIT,36.1457,-86.7061,POINT (-86.7061 36.1457)
20190733081,10/05/2019 02:45:00 AM,2,3,0,,N,330413,11,Front to Rear,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,DIVISION ST & MUSIC CIR E,NASHVILLE,TN,37203,6719,MIDTOW,36.1517,-86.7895,POINT (-86.7895 36.1517)
20190748680,10/12/2019 02:03:00 AM,2,0,0,,Y,311336,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,3,DARK - LIGHTED,13;14,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE,EMMETT AV & STROUSE AV,NASHVILLE,TN,37206,1883,EAST,36.1953,-86.7474,POINT (-86.7474 36.1953)
20190912634,12/21/2019 04:29:00 PM,2,0,0,,N,352168,4,ANGLE,21,CLEAR,5,DUSK,12,MOTOR VEHICLE IN TRANSPORT,HARDING PL & TROUSDALE DR,NASHVILLE,TN,37204,8533,MIDTOW,36.0811,-86.7584,POINT (-86.7584 36.0811)
20190796588,11/01/2019 04:35:00 PM,2,0,0,,N,212346,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,CHURCH ST & GULCH GRNWY,NASHVILLE,TN,37203,4117,CENTRA,36.1596,-86.7883,POINT (-86.7883 36.1596)
20190636771,08/26/2019 08:20:00 AM,4,2,0,,N,716886,11,Front to Rear,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,BELL RD & CEDAR POINTE PKWY,ANTIOCH,TN,37013,8753,SOUTH,36.0449,-86.6671,POINT (-86.6671 36.0449)
20190778281,10/24/2019 06:15:00 PM,3,0,0,,Y,311344,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,RIVERGATE MARKETPLACE PVTDR & GALLATIN P,MADISON,TN,37115,1731,MADISO,36.3037,-86.6898,POINT (-86.6898 36.3037)
